model	objective	gene	status	value
iUL909.xml	obj	G_OGAPODRAFT_15693	optimal	0.0
iUL909.xml	obj	G_OGAPODRAFT_15696	optimal	1.116836
iUL909.xml	obj	G_OGAPODRAFT_15704	optimal	0.0
iUL909.xml	obj	G_OGAPODRAFT_15710	optimal	1.116836
iUL909.xml	obj	G_OGAPODRAFT_15714	optimal	0.0
iUL909.xml	obj	G_OGAPODRAFT_15722	optimal	1.058259
iUL909.xml	obj	G_OGAPODRAFT_15724	optimal	1.116836
iUL909.xml	obj	G_OGAPODRAFT_15725	optimal	1.076789
iUL909.xml	obj	G_OGAPODRAFT_15739	optimal	1.116836
iUL909.xml	obj	G_OGAPODRAFT_15745	optimal	0.0
iUL909.xml	obj	G_OGAPODRAFT_15747	optimal	0.0
iUL909.xml	obj	G_OGAPODRAFT_15751	optimal	1.116836
iUL909.xml	obj	G_OGAPODRAFT_15752	optimal	1.116836
iUL909.xml	obj	G_OGAPODRAFT_15772	optimal	1.116836
iUL909.xml	obj	G_OGAPODRAFT_15775	optimal	1.116836
iUL909.xml	obj	G_OGAPODRAFT_15783	optimal	1.116836
iUL909.xml	obj	G_OGAPODRAFT_15785	optimal	1.108485
iUL909.xml	obj	G_OGAPODRAFT_15786	optimal	1.116836
iUL909.xml	obj	G_OGAPODRAFT_15788	optimal	1.116836
iUL909.xml	obj	G_OGAPODRAFT_15790	optimal	0.0
iUL909.xml	obj	G_OGAPODRAFT_15791	optimal	0.0
iUL909.xml	obj	G_OGAPODRAFT_15795	optimal	1.116836
iUL909.xml	obj	G_OGAPODRAFT_15812	optimal	1.116836
iUL909.xml	obj	G_OGAPODRAFT_15815	optimal	1.116836
iUL909.xml	obj	G_OGAPODRAFT_15831	optimal	1.116836
iUL909.xml	obj	G_OGAPODRAFT_15832	optimal	1.116836
iUL909.xml	obj	G_OGAPODRAFT_15833	optimal	1.116826
iUL909.xml	obj	G_OGAPODRAFT_15842	optimal	1.116836
iUL909.xml	obj	G_OGAPODRAFT_15850	optimal	0.0
iUL909.xml	obj	G_OGAPODRAFT_15858	optimal	1.116836
iUL909.xml	obj	G_OGAPODRAFT_15860	optimal	1.116836
iUL909.xml	obj	G_OGAPODRAFT_15872	optimal	0.336832
iUL909.xml	obj	G_OGAPODRAFT_15878	optimal	0.0
iUL909.xml	obj	G_OGAPODRAFT_15880	optimal	0.336832
iUL909.xml	obj	G_OGAPODRAFT_15884	optimal	1.100536
iUL909.xml	obj	G_OGAPODRAFT_15927	optimal	1.116836
iUL909.xml	obj	G_OGAPODRAFT_15936	optimal	1.116836
iUL909.xml	obj	G_OGAPODRAFT_15944	optimal	1.116836
iUL909.xml	obj	G_OGAPODRAFT_15951	optimal	0.0
iUL909.xml	obj	G_OGAPODRAFT_15957	optimal	1.116836
iUL909.xml	obj	G_OGAPODRAFT_15963	optimal	1.116836
iUL909.xml	obj	G_OGAPODRAFT_15965	optimal	1.116836
iUL909.xml	obj	G_OGAPODRAFT_15968	optimal	1.116836
iUL909.xml	obj	G_OGAPODRAFT_15969	optimal	1.116836
iUL909.xml	obj	G_OGAPODRAFT_15971	optimal	1.116836
iUL909.xml	obj	G_OGAPODRAFT_15977	optimal	1.116836
iUL909.xml	obj	G_OGAPODRAFT_15984	optimal	0.0
iUL909.xml	obj	G_OGAPODRAFT_15991	optimal	1.116836
iUL909.xml	obj	G_OGAPODRAFT_15994	optimal	0.0
iUL909.xml	obj	G_OGAPODRAFT_16006	optimal	1.116836
iUL909.xml	obj	G_OGAPODRAFT_16028	optimal	1.116836
iUL909.xml	obj	G_OGAPODRAFT_16032	optimal	1.116836
iUL909.xml	obj	G_OGAPODRAFT_16034	optimal	1.116836
iUL909.xml	obj	G_OGAPODRAFT_16045	optimal	1.115749
iUL909.xml	obj	G_OGAPODRAFT_16047	optimal	0.336832
iUL909.xml	obj	G_OGAPODRAFT_16052	optimal	0.0
iUL909.xml	obj	G_OGAPODRAFT_16058	optimal	1.064239
iUL909.xml	obj	G_OGAPODRAFT_16072	optimal	1.116836
iUL909.xml	obj	G_OGAPODRAFT_16079	optimal	1.116836
iUL909.xml	obj	G_OGAPODRAFT_16084	optimal	0.970034
iUL909.xml	obj	G_OGAPODRAFT_16095	optimal	1.116836
iUL909.xml	obj	G_OGAPODRAFT_16103	optimal	1.11661
iUL909.xml	obj	G_OGAPODRAFT_16110	optimal	0.970034
iUL909.xml	obj	G_OGAPODRAFT_16126	optimal	1.116836
iUL909.xml	obj	G_OGAPODRAFT_16127	optimal	1.116836
iUL909.xml	obj	G_OGAPODRAFT_16153	optimal	1.116836
iUL909.xml	obj	G_OGAPODRAFT_16166	optimal	1.116836
iUL909.xml	obj	G_OGAPODRAFT_16173	optimal	1.116836
iUL909.xml	obj	G_OGAPODRAFT_16175	optimal	1.116836
iUL909.xml	obj	G_OGAPODRAFT_16176	optimal	1.116836
iUL909.xml	obj	G_OGAPODRAFT_16181	optimal	1.116836
iUL909.xml	obj	G_OGAPODRAFT_16184	optimal	0.0
iUL909.xml	obj	G_OGAPODRAFT_16185	optimal	0.0
iUL909.xml	obj	G_OGAPODRAFT_16189	optimal	0.970034
iUL909.xml	obj	G_OGAPODRAFT_16197	optimal	1.116836
iUL909.xml	obj	G_OGAPODRAFT_16198	optimal	1.116836
iUL909.xml	obj	G_OGAPODRAFT_16205	optimal	1.116836
iUL909.xml	obj	G_OGAPODRAFT_16207	optimal	1.116836
iUL909.xml	obj	G_OGAPODRAFT_16221	optimal	1.116836
iUL909.xml	obj	G_OGAPODRAFT_16239	optimal	1.116836
iUL909.xml	obj	G_OGAPODRAFT_16241	optimal	0.0
iUL909.xml	obj	G_OGAPODRAFT_16247	optimal	1.116836
iUL909.xml	obj	G_OGAPODRAFT_16253	optimal	1.116836
iUL909.xml	obj	G_OGAPODRAFT_16261	optimal	1.116777
iUL909.xml	obj	G_OGAPODRAFT_16270	optimal	1.116836
iUL909.xml	obj	G_OGAPODRAFT_16276	optimal	1.116836
iUL909.xml	obj	G_OGAPODRAFT_16280	optimal	0.804541
iUL909.xml	obj	G_OGAPODRAFT_16287	optimal	1.116836
iUL909.xml	obj	G_OGAPODRAFT_16289	optimal	0.0
iUL909.xml	obj	G_OGAPODRAFT_16302	optimal	0.970034
iUL909.xml	obj	G_OGAPODRAFT_16303	optimal	1.116836
iUL909.xml	obj	G_OGAPODRAFT_16304	optimal	1.116836
iUL909.xml	obj	G_OGAPODRAFT_16310	optimal	1.116836
iUL909.xml	obj	G_OGAPODRAFT_16312	optimal	1.116836
iUL909.xml	obj	G_OGAPODRAFT_16316	optimal	0.0
iUL909.xml	obj	G_OGAPODRAFT_16318	optimal	1.116836
iUL909.xml	obj	G_OGAPODRAFT_16324	optimal	1.116836
iUL909.xml	obj	G_OGAPODRAFT_16332	optimal	0.0
iUL909.xml	obj	G_OGAPODRAFT_16355	optimal	1.116836
iUL909.xml	obj	G_OGAPODRAFT_16362	optimal	0.0
iUL909.xml	obj	G_OGAPODRAFT_16373	optimal	1.116836
iUL909.xml	obj	G_OGAPODRAFT_16385	optimal	1.116836
iUL909.xml	obj	G_OGAPODRAFT_16393	optimal	1.116836
iUL909.xml	obj	G_OGAPODRAFT_16399	optimal	1.115969
iUL909.xml	obj	G_OGAPODRAFT_16407	optimal	1.116836
iUL909.xml	obj	G_OGAPODRAFT_16409	optimal	0.0
iUL909.xml	obj	G_OGAPODRAFT_16414	optimal	0.0
iUL909.xml	obj	G_OGAPODRAFT_16417	optimal	0.970034
iUL909.xml	obj	G_OGAPODRAFT_16434	optimal	1.116836
iUL909.xml	obj	G_OGAPODRAFT_16444	optimal	1.116836
iUL909.xml	obj	G_OGAPODRAFT_16445	optimal	0.0
iUL909.xml	obj	G_OGAPODRAFT_16447	optimal	1.116836
iUL909.xml	obj	G_OGAPODRAFT_16458	optimal	0.0
iUL909.xml	obj	G_OGAPODRAFT_16472	optimal	1.116836
iUL909.xml	obj	G_OGAPODRAFT_16476	optimal	1.116836
iUL909.xml	obj	G_OGAPODRAFT_16477	optimal	1.116836
iUL909.xml	obj	G_OGAPODRAFT_16482	optimal	1.116836
iUL909.xml	obj	G_OGAPODRAFT_16486	optimal	1.116836
iUL909.xml	obj	G_OGAPODRAFT_16487	optimal	1.116836
iUL909.xml	obj	G_OGAPODRAFT_16490	optimal	1.116836
iUL909.xml	obj	G_OGAPODRAFT_16492	optimal	0.0
iUL909.xml	obj	G_OGAPODRAFT_16497	optimal	0.0
iUL909.xml	obj	G_OGAPODRAFT_16498	optimal	1.116836
iUL909.xml	obj	G_OGAPODRAFT_16504	optimal	1.116836
iUL909.xml	obj	G_OGAPODRAFT_16505	optimal	1.116836
iUL909.xml	obj	G_OGAPODRAFT_16510	optimal	0.0
iUL909.xml	obj	G_OGAPODRAFT_16512	optimal	1.116836
